"","OCC2010","mean_wage","num_workers","Label"
"100",360,61905.7083833362,5833,"Natural Science Managers"
"101",1650,61866.0498509813,35566,"Medical Scientists, and Life Scientists, All Other"
"102",1700,61628.2585119798,3172,"Astronomers and Physicists"
"103",350,61435.9265434881,48818,"Medical and Health Services Managers"
"104",8830,61064.3570376604,4753,"Photographic Process Workers and Processing Machine Operators"
"105",530,60782.5885591924,26152,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
"106",6840,60704.0547730829,639,"Mining Machine Operators"
"107",620,60563.6962561858,188738,"Human Resources, Training, and Labor Relations Specialists"
"108",3150,59815.466400827,33855,"Occupational Therapists"
"109",1720,59373.4834350647,26049,"Chemists and Materials Scientists"
"110",1760,59364.6935988896,92937,"Physical Scientists, nec"
"111",7900,59255.8108233117,2162,"Computer Control Programmers and Operators"
"112",700,59061.7008835204,23429,"Logisticians"
"113",1830,58837.5321333655,8278,"Urban and Regional Planners"
"114",3230,58615.9392758886,45435,"Speech Language Pathologists"
"115",5920,58372.065189289,5415,"Statistical Assistants"
"116",6660,58233.0274989088,4582,"Construction and Building Inspectors"
"117",3220,57768.3622847048,6793,"Respiratory Therapists"
"118",4965,57356.499500699,35049,"Sales and Related Workers, All Other"
"119",1050,57320.2104063654,75031,"Computer Support Specialists"
"120",540,57318.888075045,31128,"Claims Adjusters, Appraisers, Examiners, and Investigators"
"121",9000,57228.3780593459,9234,"Supervisors of Transportation and Material Moving Workers"
"122",4700,57080.4099644239,193107,"First-Line Supervisors of Sales Workers"
"123",1740,57018.7970745777,19416,"Environmental Scientists and Geoscientists"
"124",4810,56764.3206211241,40958,"Insurance Sales Agents"
"125",930,56657.0479898969,4751,"Tax Examiners and Collectors, and Revenue Agents"
"126",500,56600.3673351609,6931,"Agents and Business Managers of Artists, Performers, and Athletes"
"127",7330,56533.1234960272,4405,"Industrial and Refractory Machinery Mechanics"
"128",2825,56390.7850001577,31707,"Public Relations Specialists"
"129",520,56003.5259220779,19250,"Wholesale and Retail Buyers, Except Farm Products"
"130",2700,55981.4140041494,38560,"Actors, Producers, and Directors"
"131",940,55902.8321461187,10950,"Tax Preparers"
"132",1550,55803.169564696,33356,"Engineering Technicians, Except Drafters"
"133",3910,55662.0869242888,10791,"Private Detectives and Investigators"
"134",8620,55560.0717539863,3512,"Water Wastewater Treatment Plant and System Operators"
"135",5150,55514.6073127974,3993,"Procurement Clerks"
"136",3120,55416.6,625,"Podiatrists"
"137",3750,55319.5176651306,651,"Fire Inspectors"
"138",8130,55298.0987654321,243,"Tool and Die Makers"
"139",1600,55165.7314194577,9405,"Agricultural and Food Scientists"
"140",9300,54940.7455533597,2024,"Sailors and marine oilers, and ship engineers"
"141",3000,54569.5269098642,6113,"Chiropractors"
"142",3730,54414.1799242424,2640,"Supervisors, Protective Service Workers, All Other"
"143",9830,54374.1540630066,28378,"Military, Rank Not Specified"
"144",1820,54334.084707589,26196,"Psychologists"
"145",1560,54219.9785478548,2424,"Surveying and Mapping Technicians"
"146",6440,54162.9677679291,7446,"Pipelayers, Plumbers, Pipefitters, and Steamfitters"
"147",2630,54023.6352956012,142743,"Designers"
"148",100,53972.9134528131,8816,"Administrative Services Managers"
"149",7140,53813.9499873705,3959,"Aircraft Mechanics and Service Technicians"
"150",6940,53590.1157024793,484,"Extraction workers, nec"
"151",7130,53417.8840372226,1397,"Security and Fire Alarm Systems Installers"
"152",5600,52818.2736541866,30502,"Production, Planning, and Expediting Clerks"
"153",8030,52710.6751618123,2472,"Machinists"
"154",2920,52501.2709908275,19842,"Television, Video, and Motion Picture Camera Operators and Editors"
"155",3800,52419.9932925394,16996,"Sheriffs, Bailiffs, Correctional Officers, and Jailers"
"156",1840,52419.3931590173,12659,"Social Scientists, nec"
"157",1540,52189.4445843829,11910,"Drafters"
"158",3030,51972.2054303975,22061,"Dieticians and Nutritionists"
"159",2600,51966.2468632096,22794,"Artists and Related Workers"
"160",9510,51879.5323383085,402,"Crane and Tower Operators"
"161",1310,51702.4867041199,5340,"Surveyors, Cartographers, and Photogrammetrists"
"162",3540,51632.3462806889,32748,"Healthcare Practitioners and Technical Occupations, nec"
"163",4200,51412.1837340457,3369,"First-Line Supervisors of Housekeeping and Janitorial Workers"
"164",7430,51280.1116937598,1907,"Precision Instrument and Equipment Repairers"
"165",4210,51229.9109178164,3334,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
"166",6740,51209.3448275862,29,"Rail-Track Laying and Maintenance Equipment Operators"
"167",6730,51186.5915492958,852,"Highway Maintenance Workers"
"168",9410,51182.9424572317,643,"Transportation Inspectors"
"169",2850,51160.8620657995,32675,"Writers and Authors"
"170",5500,51135.2824536377,1402,"Cargo and Freight Agents"
"171",7160,50985.8545454545,110,"Automotive Glass Installers and Repairers"
"172",5000,50853.0415571369,59725,"First-Line Supervisors of Office and Administrative Support Workers"
"173",7315,50704.3073531727,6351,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
"174",7350,50621.2278481013,158,"Maintenance Workers, Machinery"
"175",6210,50574.1576086957,552,"Boilermakers"
"176",720,50514.2791142191,42900,"Meeting and Convention Planners"
"177",1910,50376.7502938488,7657,"Biological Technicians"
"178",3700,50351.0243902439,779,"First-Line Supervisors of Correctional Officers"
"179",7220,50335.3697978597,1682,"Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics"
"180",420,50333.4033707286,58207,"Social and Community Service Managers"
"181",6460,50280.2173913043,92,"Plasterers and Stucco Masons"
"182",1610,50059.2152196961,25467,"Biological Scientists"
"183",230,50047.9107927723,67573,"Education Administrators"
"184",7830,49966.5594149909,547,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
"185",9560,49872.1222826087,368,"Conveyor operators and tenders, and hoist and winch operators"
"186",6320,49844.9963680387,2478,"Construction equipment operators except paving, surfacing, and tamping equipment operators"
"187",2800,49813.8264347826,2875,"Announcers"
"188",7300,49428.3110367893,598,"Control and Valve Installers and Repairers"
"189",1710,49233.8223423423,2775,"Atmospheric and Space Scientists"
"190",2810,49098.0079403741,41056,"Editors, News Analysts, Reporters, and Correspondents"
"191",7210,48544.4042999476,1907,"Bus and Truck Mechanics and Diesel Engine Specialists"
"192",205,48504.7052569837,13639,"Farmers, Ranchers, and Other Agricultural Managers"
"193",5340,48404.7157012195,1312,"New Account Clerks"
"194",5330,48366.1051190026,10588,"Loan Interviewers and Clerks"
"195",5230,48360.5003878976,3867,"Credit Authorizers, Checkers, and Clerks"
"196",2330,48152.5468536864,72577,"Special Education Teachers"
"197",8720,48114.4029126214,412,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
"198",5550,47936.0496497106,6566,"Postal Service Mail Carriers"
"199",8010,47865.7099236641,131,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
"200",7100,47771.5875831486,902,"Electrical and electronics repairers, transportation equipment, and industrial and utility"
"201",310,47758.861093372,51675,"Food Service and Lodging Managers"
"202",8040,47683.414507772,193,"Metal Furnace Operators, Tenders, Pourers, and Casters"
"203",6355,47569.9542203147,13281,"Electricians"
"204",1640,47474.4866156788,7322,"Conservation Scientists and Foresters"
"205",6005,47410.9603469641,1614,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
"206",9420,47394.6673236106,2537,"Transportation workers, nec"
"207",2150,47383.1617063492,19152,"Legal Support Workers, nec"
"208",2320,47071.7191590215,205903,"Secondary School Teachers"
"209",6765,47055.9596443228,1462,"Construction workers, nec"
"210",7340,47031.3564395823,10055,"Maintenance and Repair Workers, General"
"211",9820,46910.9313329122,15830,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members"
"212",5530,46731.3823529412,340,"Meter Readers, Utilities"
"213",7020,46600.7181763163,4957,"Radio and Telecommunications Equipment Installers and Repairers"
"214",5520,46527.1260989906,12284,"Dispatchers"
"215",1920,46374.4753491325,9452,"Chemical Technicians"
"216",6240,46176.2887139108,762,"Carpet, Floor, and Tile Installers and Finishers"
"217",4400,46160.8118860511,2036,"Gaming Services Workers"
"218",8740,46037.3955613164,31631,"Inspectors, Testers, Sorters, Samplers, and Weighers"
"219",6530,45921.8048780488,656,"Structural Iron and Steel Workers"
"220",6250,45647.4693251534,326,"Cement Masons, Concrete Finishers, and Terrazzo Workers"
"221",4740,45352.6487814868,4883,"Counter and Rental Clerks"
"222",3300,45291.5805205282,47106,"Clinical Laboratory Technologists and Technicians"
"223",3500,45221.8728370221,4970,"Licensed Practical and Licensed Vocational Nurses"
"224",7920,45096.2747747748,222,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
"225",8220,44989.4487983281,3828,"Metal workers and plastic workers, nec"
"226",5410,44963.9128793835,6359,"Reservation and Transportation Ticket Agents and Travel Clerks"
"227",5360,44856.2472470393,9626,"Human Resources Assistants, Except Payroll and Timekeeping"
"228",8140,44781.5650416171,4205,"Welding, Soldering, and Brazing Workers"
"229",5240,44638.1959069044,210794,"Customer Service Representatives"
"230",2900,44619.2777557337,12601,"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other"
"231",2010,44407.1938472211,187395,"Social Workers"
"232",2310,44329.2777361457,519097,"Elementary and Middle School Teachers"
"233",8640,44326.8155808342,5802,"Chemical Processing Machine Setters, Operators, and Tenders"
"234",7320,44305.9122340426,752,"Home Appliance Repairers"
"235",5350,44255.9527458493,4698,"Correspondent clerks and order clerks"
"236",2020,44232.8210228788,18751,"Community and Social Service Specialists, nec"
"237",3900,44037.2728592163,689,"Animal Control"
"238",6220,44007.8817635271,1497,"Brickmasons, Blockmasons, and Stonemasons"
"239",7010,43828.1664992466,7964,"Computer, Automated Teller, and Office Machine Repairers"
"240",7420,43393.6668852459,1525,"Telecommunications Line Installers and Repairers"
"241",1900,43355.1771969541,4859,"Agricultural and Food Science Technicians"
"242",2550,43275.3549534085,16312,"Education, Training, and Library Workers, nec"
"243",3240,43159.5309006737,53138,"Therapists, nec"
"244",9750,42903.7007007007,999,"Material moving workers, nec"
"245",8420,42875.5817610063,318,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
"246",5940,42653.2497147898,85025,"Office and administrative support workers, nec"
"247",6720,42634.4665757162,733,"Hazardous Materials Removal Workers"
"248",4320,42625.9479212254,2285,"First-Line Supervisors of Personal Service Workers"
"249",5140,42534.8320386311,9526,"Payroll and Timekeeping Clerks"
"250",4830,42305.3527871306,2673,"Travel Agents"
"251",6520,42019.8590909091,1540,"Sheet Metal Workers, metal-working"
"252",2860,41999.5470968902,11126,"Media and Communication Workers, nec"
"253",8965,41959.0119128198,22161,"Other production workers including semiconductor processors and cooling and freezing equipment operators"
"254",7150,41860.0864779874,636,"Automotive Body and Related Repairers"
"255",5420,41818.8927909372,9710,"Information and Record Clerks, All Other"
"256",8550,41781.1140684411,526,"Woodworkers including model makers and patternmakers, nec"
"257",2000,41778.4811308002,162752,"Counselors"
"258",8530,41691.9117647059,102,"Sawing Machine Setters, Operators, and Tenders, Wood"
"259",7120,41593.1346886912,787,"Electronic Home Entertainment Equipment Installers and Repairers"
"260",2140,41573.9239464953,66611,"Paralegals and Legal Assistants"
"261",5220,41466.8151055294,5733,"Court, Municipal, and License Clerks"
"262",5840,41402.3523612547,14505,"Insurance Claims and Policy Processing Clerks"
"263",9050,41259.2006158219,8444,"Flight Attendants and Transportation Workers and Attendants"
"264",3400,41190.5128205128,22620,"Emergency Medical Technicians and Paramedics"
"265",5250,41082.9222849083,7090,"Eligibility Interviewers, Government Programs"
"266",9720,40985.2951388889,1152,"Refuse and Recyclable Material Collectors"
"267",3530,40967.4901401142,11562,"Health Technologists and Technicians, nec"
"268",6260,40910.1269735273,20965,"Construction Laborers"
"269",4460,40678.9437229437,2310,"Funeral Service Workers and Embalmers"
"270",7740,40515.8390804598,261,"Structural Metal Fabricators and Fitters"
"271",6230,40505.0209460504,12938,"Carpenters"
"272",5120,40442.1209465631,35032,"Bookkeeping, Accounting, and Auditing Clerks"
"273",6400,40311.1212723658,503,"Insulation Workers"
"274",5560,40274.9445407279,1154,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
"275",5110,40267.7047320496,20097,"Billing and Posting Clerks"
"276",7630,40153.2004095214,3907,"Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers"
"277",7200,40114.7990873064,8327,"Automotive Service Technicians and Mechanics"
"278",2720,40113.6863966333,47525,"Athletes, Coaches, Umpires, and Related Workers"
"279",5700,40092.2549869663,143474,"Secretaries and Administrative Assistants"
"280",3260,39922.8489208633,973,"Health Diagnosing and Treating Practitioners, nec"
"281",4950,39777.4002970665,2693,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
"282",6515,39678.6190082645,1210,"Roofers"
"283",5010,39538.2012288786,651,"Switchboard Operators, Including Answering Service"
"284",7030,39494.1420233463,514,"Avionics Technicians"
"285",8250,39027.430362117,1436,"Prepress Technicians and Workers"
"286",8460,38952.0875656743,571,"Textile, Apparel, and Furnishings workers, nec"
"287",9260,38531.8856088561,271,"Subway, Streetcar, and Other Rail Transportation Workers"
"288",5100,38498.2861026164,5886,"Bill and Account Collectors"
"289",3510,38428.2718098958,6144,"Medical Records and Health Information Technicians"
"290",2040,38344.4200308563,31112,"Clergy"
"291",8750,38336.4628344896,2018,"Jewelers and Precious Stone and Metal Workers"
"292",7730,38324.0909090909,110,"Engine and Other Machine Assemblers"
"293",8940,38027.1785714286,28,"Tire Builders"
"294",4940,37947.2882686437,2293,"Telemarketers"
"295",6330,37897.7527352298,457,"Drywall Installers, Ceiling Tile Installers, and Tapers"
"296",5540,37843.9043824701,2510,"Postal Service Clerks"
"297",3520,37773.8479289941,3380,"Opticians, Dispensing"
"298",3210,37641.8479160916,3623,"Recreational Therapists"
"299",4900,37636.7419196866,2042,"Models, Demonstrators, and Product Promoters"
"300",3930,37620.0645228711,33492,"Security Guards and Gaming Surveillance Officers"
"301",3610,37531.8292682927,4346,"Occupational Therapy Assistants and Aides"
"302",4760,37426.462545225,164732,"Retail Salespersons"
"303",5630,37324.5263360246,2601,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
"304",2400,37288.4943039733,10797,"Archivists, Curators, and Museum Technicians"
"305",2910,37196.6140264491,14216,"Photographers"
"306",6130,37178.7415881561,743,"Logging Workers"
"307",8810,36996.0033333333,1200,"Painting Workers and Dyers"
"308",4240,36806.009551495,2408,"Pest Control Workers"
"309",8650,36685.1881589619,1233,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
"310",1960,36662.6996337558,65257,"Life, Physical, and Social Science Technicians, nec"
"311",8920,36487.3542199489,782,"Molders, Shapers, and Casters, Except Metal and Plastic"
"312",6360,36445.4066390041,482,"Glaziers"
"313",2760,36213.2956001709,4682,"Entertainers and Performers, Sports and Related Workers, All Other"
"314",2430,35829.7603453237,17375,"Librarians"
"315",2300,35786.0124509783,93326,"Preschool and Kindergarten Teachers"
"316",4340,35776.2649800266,3755,"Animal Trainers"
"317",9600,35721.6724820144,5560,"Industrial Truck and Tractor Operators"
"318",2050,35113.7561148529,8463,"Directors, Religious Activities and Education"
"319",8800,35011.5946023543,3483,"Packaging and Filling Machine Operators and Tenders"
"320",7720,34910.2472932005,2309,"Electrical, Electronics, and Electromechanical Assemblers"
"321",8760,34681.2130166087,5178,"Medical, Dental, and Ophthalmic Laboratory Technicians"
"322",2750,34666.9132528486,14744,"Musicians, Singers, and Related Workers"
"323",8930,34657.4358974359,78,"Paper Goods Machine Setters, Operators, and Tenders"
"324",5820,33780.1995535714,2240,"Word Processors and Typists"
"325",2740,33752.6934164394,2567,"Dancers and Choreographers"
"326",4750,33693.8076303063,1861,"Parts Salespersons"
"327",5910,33511.8681408681,1221,"Proofreaders and Copy Markers"
"328",7750,33498.4083902302,14207,"Assemblers and Fabricators, nec"
"329",9630,33029.5688225539,603,"Machine Feeders and Offbearers"
"330",3640,32877.0061620995,13794,"Dental Assistants"
"331",7040,32867.9351032448,339,"Electric Motor, Power Tool, and Related Repairers"
"332",7840,32811.036705079,2343,"Food Batchmakers"
"333",6120,32661.9542760373,1181,"Forest and Conservation Workers"
"334",4010,32587.4743185517,19664,"First-Line Supervisors of Food Preparation and Serving Workers"
"335",5610,32574.5540597392,16639,"Shipping, Receiving, and Traffic Clerks"
"336",7950,32337.5981481481,540,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
"337",9130,32176.7821684588,44640,"Driver/Sales Workers and Truck Drivers"
"338",7855,32095.4938101788,1454,"Food Processing, nec"
"339",2200,32043.5193435848,231317,"Postsecondary Teachers"
"340",7810,31973.1300951087,2944,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
"341",5260,31870.1660343673,8962,"File Clerks"
"342",5310,31795.1266100703,13664,"Interviewers, Except Eligibility and Loan"
"343",7560,31649.5273972603,292,"Riggers"
"344",3950,31345.5479293368,13812,"Law enforcement workers, nec"
"345",6050,31307.4463353632,18392,"Agricultural workers, nec"
"346",4250,31279.7275997384,21406,"Grounds Maintenance Workers"
"347",5020,31142.8775181305,1241,"Telephone Operators"
"348",8330,30950.7935222672,247,"Shoe and Leather Workers and Repairers"
"349",8540,30742.6402877698,278,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
"350",5860,30712.5244981745,70393,"Office Clerks, General"
"351",4040,30655.3972630107,40044,"Bartenders"
"352",4650,30638.5026377491,6824,"Personal Care and Service Workers, All Other"
"353",6420,30572.551998281,4654,"Painters, Construction and Maintenance"
"354",4530,30532.9654753221,4113,"Baggage Porters, Bellhops, and Concierges"
"355",8500,30383.6473029046,482,"Cabinetmakers and Bench Carpenters"
"356",7510,30382.4416826004,523,"Coin, Vending, and Amusement Machine Servicers and Repairers"
"357",9100,30237.8303874915,2942,"Bus and Ambulance Drivers and Attendants"
"358",3650,30158.208447087,92671,"Medical Assistants and Other Healthcare Support Occupations, nec"
"359",4620,30136.9681977308,47418,"Recreation and Fitness Workers"
"360",8350,30053.2438016529,1452,"Tailors, Dressmakers, and Sewers"
"361",3410,30038.3609901964,79257,"Health Diagnosing and Treating Practitioner Support Technicians"
"362",5810,29749.9648581215,23647,"Data Entry Keyers"
"363",9360,29674.2364657814,1958,"Automotive and Watercraft Service Attendants"
"364",8510,29561.9230769231,65,"Furniture Finishers"
"365",5160,29337.6563830841,20194,"Bank Tellers"
"366",7260,29317.5147058824,1496,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers, nec"
"367",4640,29259.150444828,7531,"Residential Advisors"
"368",5400,29197.2908851058,79595,"Receptionists and Information Clerks"
"369",9150,29119.4963768116,1380,"Motor Vehicle Operators, All Other"
"370",2060,28999.3629638917,7976,"Religious Workers, nec"
"371",4350,28992.0370209898,20772,"Nonfarm Animal Caretakers"
"372",3630,28896.8797431407,3426,"Massage Therapists"
"373",2340,28660.3594976452,95550,"Other Teachers and Instructors"
"374",3620,28626.2178567605,18682,"Physical Therapist Assistants and Aides"
"375",7850,27941.4678899083,218,"Food Cooking Machine Operators and Tenders"
"376",9140,27933.0270475777,9206,"Taxi Drivers and Chauffeurs"
"377",5900,27898.5087108014,1722,"Office Machine Operators, Except Computer"
"378",8230,27722.429754426,3502,"Bookbinders, Printing Machine Operators, and Job Printers"
"379",8910,27704.085106383,282,"Etchers, Engravers, and Lithographers"
"380",3600,27409.7016998652,53416,"Nursing, Psychiatric, and Home Health Aides"
"381",9620,27318.6988216536,51428,"Laborers and Freight, Stock, and Material Movers, Hand"
"382",5300,27281.4747462687,8375,"Hotel, Motel, and Resort Desk Clerks"
"383",8710,27131.6347826087,460,"Cutting Workers"
"384",8320,27112.394375,1600,"Sewing Machine Operators"
"385",4510,26991.7738978612,6873,"Hairdressers, Hairstylists, and Cosmetologists"
"386",6040,26969.1715481172,956,"Graders and Sorters, Agricultural Products"
"387",5620,26909.321896699,53862,"Stock Clerks and Order Fillers"
"388",4220,26900.2487689221,21932,"Janitors and Building Cleaners"
"389",5850,26871.6081799591,2445,"Mail Clerks and Mail Machine Operators, Except Postal Service"
"390",6710,26813.6972789116,294,"Fence Erectors"
"391",9640,26394.4624811868,9302,"Packers and Packagers, Hand"
"392",8300,26247.3862275449,1336,"Laundry and Dry-Cleaning Workers"
"393",8000,26151.4604810997,582,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
"394",4000,26131.3359475672,45010,"Chefs and Cooks"
"395",7800,25847.7255543439,8253,"Bakers"
"396",4500,25505.4772117962,1119,"Barbers"
"397",5510,25412.1771301581,19799,"Couriers and Messengers"
"398",4520,25155.1661582919,6229,"Personal Appearance Workers, nec"
"399",4610,25043.6092166197,30879,"Personal Care Aides"
"400",2540,24520.2807565413,153065,"Teacher Assistants"
"401",8450,24503.7236842105,152,"Upholsterers"
"402",9610,24465.1495033978,5739,"Cleaners of Vehicles and Equipment"
"403",3940,24142.5365853659,328,"Crossing Guards"
"404",8730,24050.908045977,87,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
"405",8310,23918.5333333333,165,"Pressers, Textile, Garment, and Related Materials"
"406",4110,23824.345642052,120917,"Waiters and Waitresses"
"407",4540,23339.7911563749,7757,"Tour and Travel Guides"
"408",8850,22812,78,"Adhesive Bonding Machine Operators and Tenders"
"409",6600,22405.1995332555,857,"Helpers, Construction Trades"
"410",4120,22039.3646532438,6258,"Food Servers, Nonrestaurant"
